answer,document_id,offsets_in_document,context,type,gold_answers,gold_offsets_in_documents,gold_document_ids,exact_match,f1,rank,node,query,node_input,sas
2015,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 153, 'end': 157}]","then Finance Minister, Mr. Arun Jaitley in the annual financial budget of 2015. The scheme was actually launched by the Prime Minister, Mr. Narendra M",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
,,"[{'start': 0, 'end': 0}]",,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What year did PMJJBY started?,prediction,0.014520280063152313
2015,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 262, 'end': 266}]",three social security schemes that was announced in the Government in the 2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantr,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,3,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 904, 'end': 943}]","e period will be renewed every year.
Features of PMJJBY:
Pradhan Mantri Jeevan Jyoti Bima Yojana is a one-year life insurance scheme available for ren",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What year did PMJJBY started?,prediction,0.010248970240354538
20%,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 312, 'end': 315}]","olkata considering the fact that as of the mentioned year (May 2015), only 20% of the country’s population had an insurance policy in their name. The ",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,How much percentage of Indians were insured in 2015?,prediction,0.9574795961380005
,,"[{'start': 0, 'end': 0}]",,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,How much percentage of Indians were insured in 2015?,prediction,0.011798434890806675
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 904, 'end': 943}]","e period will be renewed every year.
Features of PMJJBY:
Pradhan Mantri Jeevan Jyoti Bima Yojana is a one-year life insurance scheme available for ren",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,How much percentage of Indians were insured in 2015?,prediction,0.009794752113521099
scheme,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1080, 'end': 1086}]", a nominal amount to encourage the weaker sections to participate in the scheme. The amount will be deducted on or before June 1st; if it is deducted ,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,How much percentage of Indians were insured in 2015?,prediction,0.1106380969285965
PMJJBY,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1131, 'end': 1137}]","ured member’s bank account on an annual basis. It must be noted that the PMJJBY application form is available in several languages such as English, Hi",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.014910467900335789
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 11, 'end': 50}]","PMJJBY

The Pradhan Mantri Jeevan Jyoti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,2,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.9640628695487976
,,"[{'start': 0, 'end': 0}]",,answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.010457701049745083
