answer,document_id,offsets_in_document,context,type,gold_answers,gold_offsets_in_documents,gold_document_ids,exact_match,f1,rank,node,query,node_input,sas
2015,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 154, 'end': 158}]","hen Finance Minister, Mr. Arun Jaitley in the annual financial budget of 2015. The scheme was actually launched by the Prime Minister, Mr. Narendra Mo",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
,,"[{'start': 0, 'end': 0}]",,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What year did PMJJBY started?,prediction,0.014520280063152313
2015,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 263, 'end': 267}]",hree social security schemes that was announced in the Government in the 2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantri,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,3,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
5th,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 962, 'end': 965}]","lans. For other plans, a partial withdrawal is generally allowed from the 5th year onwards. The entire premium amount is used to buy units. The quantu",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What year did PMJJBY started?,prediction,0.01204899325966835
,,"[{'start': 0, 'end': 0}]",,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,How much percentage of Indians were insured in 2015?,prediction,0.011798434890806675
only 20% of the country’s population had an insurance policy in their name,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 308, 'end': 382}]"," as of the mentioned year (May 2015), only 20% of the country’s population had an insurance policy in their name. The main idea behind the scheme was ",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.16666666666666669,2,Reader,How much percentage of Indians were insured in 2015?,prediction,0.5251359939575195
Rs.12 per annum per member,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 910, 'end': 936}]","e will be paid in Indian currency only.
The premium amount is Rs.12 per annum per member and will be auto-debited from the account of the holder. The ",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,How much percentage of Indians were insured in 2015?,prediction,0.09487990289926529
"NRI’s can also join the scheme; however, in the event of a claim arising, the beneficiary/ nominee will be paid in Indian currency only.
The premium amount is Rs.12 per annum per member",d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 751, 'end': 936}]"," NRI’s can also join the scheme; however, in the event of a claim arising, the beneficiary/ nominee will be paid in Indian currency only.
The premium amount is Rs.12 per annum per member",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,How much percentage of Indians were insured in 2015?,prediction,0.0996008813381195
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 12, 'end': 51}]","PMJJBY

The Pradhan Mantri Jeevan Jyoti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.9640628695487976
,,"[{'start': 0, 'end': 0}]",,answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.010457701049745083
self declaration form of good health,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1436, 'end': 1472}]","the future by paying the annual premium and submitting a self declaration form of good health.
Amount of Premium to be Paid:
With effect from 1 Septem",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.009558993391692638
"PMSBY

Pradhan Mantri Suraksha Bima Yojana",d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 0, 'end': 42}]","PMSBY

Pradhan Mantri Suraksha Bima Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can ",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,4,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.639041543006897
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.9641627073287964
,,"[{'start': 0, 'end': 0}]",,answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.01508121658116579
Rs.12 per annum per member,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 910, 'end': 936}]","e will be paid in Indian currency only.
The premium amount is Rs.12 per annum per member and will be auto-debited from the account of the holder. The ",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.20568928122520447
one-year accidental death and disability cover,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 93, 'end': 139}]","a or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can be renewed yearly. PMSBY is one of the th",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.0094096465036273
between 18 and 50 years of age,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 414, 'end': 444}]","ions for PMJJBY:
The member applying for the scheme must be between 18 and 50 years of age. No health certificate or information of pre-existing disea",answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.7272727272727273,1,Reader,What is the age limit for PMJJBY scheme?,prediction,0.9332516193389893
18-70 years,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 470, 'end': 481}]","unt holders, whether single or joint account status, in the age group 18-70 years, are eligible to join the PMSBY scheme. In case the individual holds",answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.3333333333333333,2,Reader,What is the age limit for PMJJBY scheme?,prediction,0.4922790825366974
50 years,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 842, 'end': 850}]",k accounts. Entry to the scheme will not be possible beyond the age of 50 years. The eligible candidates can join the scheme before giving any self de,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,3,Reader,What is the age limit for PMJJBY scheme?,prediction,0.5843664407730103
between the ages of 18 and 50 years,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1049, 'end': 1084}]",for renewal every year. The scheme is available to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annu,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.7272727272727273,4,Reader,What is the age limit for PMJJBY scheme?,prediction,0.9354848861694336
,,"[{'start': 0, 'end': 0}]",,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.04284290596842766
one-year life insurance scheme,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 950, 'end': 980}]","res of PMJJBY:
Pradhan Mantri Jeevan Jyoti Bima Yojana is a one-year life insurance scheme available for renewal every year. The scheme is available t",answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.19386056065559387
term plan,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1290, 'end': 1299}]", the member’s bank accounts. It must be noted that the scheme offers a term plan wherein the insurance company will pay the insurance amount to the me,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,3,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.9658809900283813
life insurance,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 420, 'end': 434}]","ruly popular financial instrument among customers. With ULIPs being life insurance products, they offer tax benefits in the form of tax free maturity.",answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.02606458030641079
55 years of age,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1629, 'end': 1644}]",he policy will automatically mature when the insured member reaches 55 years of age. It must be noted that irrespective of the date when the policy wa,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,1,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.9459183216094971
,,"[{'start': 0, 'end': 0}]",,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.009923269040882587
between the ages of 18 and 50 years,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1049, 'end': 1084}]",for renewal every year. The scheme is available to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annu,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.22222222222222224,3,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.6719552874565125
between 18 and 50 years of age,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 414, 'end': 444}]","ions for PMJJBY:
The member applying for the scheme must be between 18 and 50 years of age. No health certificate or information of pre-existing disea",answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.22222222222222224,4,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.4930172562599182
upon the death of the insured member,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1388, 'end': 1424}]","ill pay the insurance amount to the member’s family only upon the death of the insured member. In case of death of the member (who is insured), the no",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.9710292220115662
,,"[{'start': 0, 'end': 0}]",,answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.017767036333680153
June 1 to May 31,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 822, 'end': 838}]","he insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year.
Features of PMJJBY:
",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.00883911270648241
3 years,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 1281, 'end': 1288}]"," the cost of insurance. If you fail to pay the premium within the first 3 years of the policy, insurance cover is immediately discontinued. For premiu",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.009837934747338295
the nominee or the insured member’s family will be paid a fixed amount of Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1475, 'end': 1558}]","h of the member (who is insured), the nominee or the insured member’s family will be paid a fixed amount of Rs.2 Lakh. The policy will automatically m",answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.5555555555555556,1,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.5628962516784668
,,"[{'start': 0, 'end': 0}]",,answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.00980423204600811
