answer,document_id,offsets_in_document,context,type,gold_answers,gold_offsets_in_documents,gold_document_ids,exact_match,f1,rank,node,query,node_input,sas
2015,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 154, 'end': 158}]","hen Finance Minister, Mr. Arun Jaitley in the annual financial budget of 2015. The scheme was actually launched by the Prime Minister, Mr. Narendra Mo",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
,,"[{'start': 0, 'end': 0}]",,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What year did PMJJBY started?,prediction,0.014520280063152313
bank account,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1100, 'end': 1112}]","ailable to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annual premium from the insured members, whi",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,What year did PMJJBY started?,prediction,0.011202268302440643
2015,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 263, 'end': 267}]",hree social security schemes that was announced in the Government in the 2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantri,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,4,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
,,"[{'start': 0, 'end': 0}]",,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,How much percentage of Indians were insured in 2015?,prediction,0.011798434890806675
20%,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 313, 'end': 316}]","lkata considering the fact that as of the mentioned year (May 2015), only 20% of the country’s population had an insurance policy in their name. The m",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,2,Reader,How much percentage of Indians were insured in 2015?,prediction,0.9574795961380005
Atal Pension Yojana (APY) and Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 296, 'end': 374}]",he 2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY). All individual bank account holder,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,How much percentage of Indians were insured in 2015?,prediction,0.01942240260541439
2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1253, 'end': 1353}]",t. The risk cover is Rs. 2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability. Permanent disability is,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,How much percentage of Indians were insured in 2015?,prediction,0.24760711193084717
Pradhan Mantri Jan Dhan Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 555, 'end': 585}]","lly, the bank accounts that were initially opened under the Pradhan Mantri Jan Dhan Yojana will be used for this scheme as well. This was done to redu",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.5454545454545454,1,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.7608619332313538
han Mantri Jan Dhan Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 559, 'end': 585}]","y, the bank accounts that were initially opened under the Pradhan Mantri Jan Dhan Yojana will be used for this scheme as well. This was done to reduce",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.3636363636363636,2,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.6657324433326721
,,"[{'start': 0, 'end': 0}]",,answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.010457701049745083
self declaration form of good health,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1436, 'end': 1472}]","the future by paying the annual premium and submitting a self declaration form of good health.
Amount of Premium to be Paid:
With effect from 1 Septem",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.009558993391692638
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.9641627073287964
,,"[{'start': 0, 'end': 0}]",,answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.01508121658116579
Month of Enrolment,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1739, 'end': 1757}]",ending upon the request date of joining the scheme. The revised premium amount that must paid under the scheme is Month of Enrolment	and Premium to be,answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.01032915711402893
bank account,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1100, 'end': 1112}]","ailable to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annual premium from the insured members, whi",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.06337900459766388
between 18 and 50 years of age,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 414, 'end': 444}]","ions for PMJJBY:
The member applying for the scheme must be between 18 and 50 years of age. No health certificate or information of pre-existing disea",answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.7272727272727273,1,Reader,What is the age limit for PMJJBY scheme?,prediction,0.9332516193389893
18-70,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 470, 'end': 475}]","ccount holders, whether single or joint account status, in the age group 18-70 years, are eligible to join the PMSBY scheme. In case the individual ho",answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What is the age limit for PMJJBY scheme?,prediction,0.4660673439502716
18 and 50,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1069, 'end': 1078}]",ewal every year. The scheme is available to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annual prem,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.8571428571428571,3,Reader,What is the age limit for PMJJBY scheme?,prediction,0.8953346610069275
,,"[{'start': 0, 'end': 0}]",,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What is the age limit for PMJJBY scheme?,prediction,0.010235695168375969
,,"[{'start': 0, 'end': 0}]",,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.04284290596842766
term plan,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1290, 'end': 1299}]", the member’s bank accounts. It must be noted that the scheme offers a term plan wherein the insurance company will pay the insurance amount to the me,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,2,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.9658809900283813
a one-year life,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 948, 'end': 963}]","ear.
Features of PMJJBY:
Pradhan Mantri Jeevan Jyoti Bima Yojana is a one-year life insurance scheme available for renewal every year. The scheme is a",answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.2337861955165863
one-year life insurance,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 950, 'end': 973}]","eatures of PMJJBY:
Pradhan Mantri Jeevan Jyoti Bima Yojana is a one-year life insurance scheme available for renewal every year. The scheme is availab",answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.08406845480203629
,,"[{'start': 0, 'end': 0}]",,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.009923269040882587
55 years of age,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1629, 'end': 1644}]",he policy will automatically mature when the insured member reaches 55 years of age. It must be noted that irrespective of the date when the policy wa,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,2,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.9459183216094971
between 18 and 50 years of age,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 414, 'end': 444}]","ions for PMJJBY:
The member applying for the scheme must be between 18 and 50 years of age. No health certificate or information of pre-existing disea",answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.22222222222222224,3,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.4930172562599182
55 years of age,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 308, 'end': 323}]", of any of the following and no benefits would be payable. Reaching 55 years of age subject to annual renewal subject to that date. Closure of the acc,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,4,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.9459183216094971
upon the death of the insured member,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1388, 'end': 1424}]","ill pay the insurance amount to the member’s family only upon the death of the insured member. In case of death of the member (who is insured), the no",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.9710292220115662
,,"[{'start': 0, 'end': 0}]",,answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.017767036333680153
3 years,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 1281, 'end': 1288}]"," the cost of insurance. If you fail to pay the premium within the first 3 years of the policy, insurance cover is immediately discontinued. For premiu",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.009837934747338295
June 1 to May 31,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 822, 'end': 838}]","he insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year.
Features of PMJJBY:
",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.00883911270648241
,,"[{'start': 0, 'end': 0}]",,answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.00980423204600811
The premium amount is Rs.12 per annum per member and will be auto-debited from the account of the holder,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 888, 'end': 992}]"," Indian currency only.
The premium amount is Rs.12 per annum per member and will be auto-debited from the account of the holder. The premium is a nomi",answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.2177623063325882
