answer,document_id,offsets_in_document,context,type,gold_answers,gold_offsets_in_documents,gold_document_ids,exact_match,f1,rank,node,query,node_input,sas
2015,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 154, 'end': 158}]","hen Finance Minister, Mr. Arun Jaitley in the annual financial budget of 2015. The scheme was actually launched by the Prime Minister, Mr. Narendra Mo",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
,,"[{'start': 0, 'end': 0}]",,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What year did PMJJBY started?,prediction,0.014520280063152313
2015,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 263, 'end': 267}]",hree social security schemes that was announced in the Government in the 2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantri,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,3,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
June 1st,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 160, 'end': 168}]","rder. Suicide is not covered. The period of enrolment is starting from June 1st to May 31st of the subsequent year, i.e a period of one year. The inst",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What year did PMJJBY started?,prediction,0.011473446153104305
20%,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 313, 'end': 316}]","lkata considering the fact that as of the mentioned year (May 2015), only 20% of the country’s population had an insurance policy in their name. The m",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,How much percentage of Indians were insured in 2015?,prediction,0.9574795961380005
,,"[{'start': 0, 'end': 0}]",,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,How much percentage of Indians were insured in 2015?,prediction,0.011798434890806675
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 697, 'end': 706}]","der, the nominee or the family members can claim the insured amount of Rs.2 Lakh by contacting the respective banks branch where the insured person wa",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,How much percentage of Indians were insured in 2015?,prediction,0.10535334795713425
be available.,d635e12585c3e386a02b4fb885fdc468-2,"[{'start': 0, 'end': 13}]","be available. In case of death, the claim can be filed by the nominee/ appointee as per the enrolment form or by the legal heirs in case of no nominee",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,How much percentage of Indians were insured in 2015?,prediction,0.013158345595002174
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 12, 'end': 51}]","PMJJBY

The Pradhan Mantri Jeevan Jyoti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.9640628695487976
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 176, 'end': 215}]", amount from the bank account. GST is exempted from the Pradhan Mantri Jeevan Jyoti Bima Yojana. It must be noted that the risk cover under the policy,answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,2,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.9640628695487976
,,"[{'start': 0, 'end': 0}]",,answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.010457701049745083
PMJJBY,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1132, 'end': 1138}]","red member’s bank account on an annual basis. It must be noted that the PMJJBY application form is available in several languages such as English, Hin",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.014910467900335789
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.9641627073287964
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 697, 'end': 706}]","der, the nominee or the family members can claim the insured amount of Rs.2 Lakh by contacting the respective banks branch where the insured person wa",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,2,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.9641627073287964
,,"[{'start': 0, 'end': 0}]",,answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.01508121658116579
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1549, 'end': 1558}]", nominee or the insured member’s family will be paid a fixed amount of Rs.2 Lakh. The policy will automatically mature when the insured member reaches,answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,4,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.9641627073287964
50 years,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 842, 'end': 850}]",k accounts. Entry to the scheme will not be possible beyond the age of 50 years. The eligible candidates can join the scheme before giving any self de,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,1,Reader,What is the age limit for PMJJBY scheme?,prediction,0.5843664407730103
one year,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 221, 'end': 229}]","ting from June 1st to May 31st of the subsequent year, i.e a period of one year. The instruction for auto-debit has to be given to the bank by May 31 ",answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What is the age limit for PMJJBY scheme?,prediction,0.011311497539281845
between 18 and 50 years of age,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 414, 'end': 444}]","ions for PMJJBY:
The member applying for the scheme must be between 18 and 50 years of age. No health certificate or information of pre-existing disea",answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.7272727272727273,3,Reader,What is the age limit for PMJJBY scheme?,prediction,0.9332516193389893
18 and 50 years,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1069, 'end': 1084}]",l every year. The scheme is available to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annual premium,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,4,Reader,What is the age limit for PMJJBY scheme?,prediction,0.9653849005699158
term plan,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1290, 'end': 1299}]", the member’s bank accounts. It must be noted that the scheme offers a term plan wherein the insurance company will pay the insurance amount to the me,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.9658809900283813
,,"[{'start': 0, 'end': 0}]",,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.04284290596842766
one-year life insurance,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 950, 'end': 973}]","eatures of PMJJBY:
Pradhan Mantri Jeevan Jyoti Bima Yojana is a one-year life insurance scheme available for renewal every year. The scheme is availab",answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.08406845480203629
Riders,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 1566, 'end': 1572}]","IP the beneficiary gets both the assured value and the fund value.
ULIP Riders are additional coverage benefits that can be added to an existing polic",answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.00905102863907814
55 years of age,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1629, 'end': 1644}]",he policy will automatically mature when the insured member reaches 55 years of age. It must be noted that irrespective of the date when the policy wa,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,1,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.9459183216094971
55,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 308, 'end': 310}]",rrence of any of the following and no benefits would be payable. Reaching 55 years of age subject to annual renewal subject to that date. Closure of t,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,2,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.898503839969635
,,"[{'start': 0, 'end': 0}]",,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.009923269040882587
50 years,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 842, 'end': 850}]",k accounts. Entry to the scheme will not be possible beyond the age of 50 years. The eligible candidates can join the scheme before giving any self de,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.5,4,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.4290441572666168
upon the death of the insured member,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1388, 'end': 1424}]","ill pay the insurance amount to the member’s family only upon the death of the insured member. In case of death of the member (who is insured), the no",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.9710292220115662
,,"[{'start': 0, 'end': 0}]",,answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.017767036333680153
in the event of the policyholder’s death,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 315, 'end': 355}]","ith a monthly income to the policyholder’s beneficiary in the event of the policyholder’s death.
Waiver of monthly premium offers the policyholder a w",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.4000000000000001,3,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.7963476181030273
3 years,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 1281, 'end': 1288}]"," the cost of insurance. If you fail to pay the premium within the first 3 years of the policy, insurance cover is immediately discontinued. For premiu",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.009837934747338295
,,"[{'start': 0, 'end': 0}]",,answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.00980423204600811
the nominee or the insured member’s family,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1475, 'end': 1517}]","ber. In case of death of the member (who is insured), the nominee or the insured member’s family will be paid a fixed amount of Rs.2 Lakh. The policy ",answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,2,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.9707778692245483
