answer,document_id,offsets_in_document,context,type,gold_answers,gold_offsets_in_documents,gold_document_ids,exact_match,f1,rank,node,query,node_input,sas
2015,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 154, 'end': 158}]","hen Finance Minister, Mr. Arun Jaitley in the annual financial budget of 2015. The scheme was actually launched by the Prime Minister, Mr. Narendra Mo",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
,,"[{'start': 0, 'end': 0}]",,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What year did PMJJBY started?,prediction,0.014520280063152313
2015,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 263, 'end': 267}]",hree social security schemes that was announced in the Government in the 2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantri,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,3,Reader,What year did PMJJBY started?,prediction,0.9484948515892029
30 days to customers,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 638, 'end': 658}]",cy documen. Most insurance companies offer a free-look period of 30 days to customers. Customers can freely switch between funds as per their wish and,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What year did PMJJBY started?,prediction,0.010481981560587883
20%,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 313, 'end': 316}]","lkata considering the fact that as of the mentioned year (May 2015), only 20% of the country’s population had an insurance policy in their name. The m",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,How much percentage of Indians were insured in 2015?,prediction,0.9574795961380005
,,"[{'start': 0, 'end': 0}]",,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,How much percentage of Indians were insured in 2015?,prediction,0.011798434890806675
Rs. 86,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 157, 'end': 163}]","8, for December, January, February is Rs. 172, for March, April, May is Rs. 86. The life insurance policy will be considered terminated upon the occur",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,How much percentage of Indians were insured in 2015?,prediction,0.09171047806739807
Rs. 2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1249, 'end': 1353}]",bit. The risk cover is Rs. 2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability. Permanent disability ,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,How much percentage of Indians were insured in 2015?,prediction,0.33463624119758606
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 12, 'end': 51}]","PMJJBY

The Pradhan Mantri Jeevan Jyoti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.9640628695487976
,,"[{'start': 0, 'end': 0}]",,answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.010457701049745083
Pradhan Mantri Jan Dhan Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 555, 'end': 585}]","lly, the bank accounts that were initially opened under the Pradhan Mantri Jan Dhan Yojana will be used for this scheme as well. This was done to redu",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.5454545454545454,3,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.7608619332313538
PMSBY scheme,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 508, 'end': 520}]","count status, in the age group 18-70 years, are eligible to join the PMSBY scheme. In case the individual holds multiple accounts in multiple banks th",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction,0.025391239672899246
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.9641627073287964
,,"[{'start': 0, 'end': 0}]",,answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.01508121658116579
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1549, 'end': 1558}]", nominee or the insured member’s family will be paid a fixed amount of Rs.2 Lakh. The policy will automatically mature when the insured member reaches,answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,3,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.9641627073287964
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 697, 'end': 706}]","der, the nominee or the family members can claim the insured amount of Rs.2 Lakh by contacting the respective banks branch where the insured person wa",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,4,Reader,What is the life cover sum insured under PMJJBY?,prediction,0.9641627073287964
18-70 years,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 470, 'end': 481}]","unt holders, whether single or joint account status, in the age group 18-70 years, are eligible to join the PMSBY scheme. In case the individual holds",answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.3333333333333333,1,Reader,What is the age limit for PMJJBY scheme?,prediction,0.4922790825366974
50 years,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 842, 'end': 850}]",k accounts. Entry to the scheme will not be possible beyond the age of 50 years. The eligible candidates can join the scheme before giving any self de,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,2,Reader,What is the age limit for PMJJBY scheme?,prediction,0.5843664407730103
between 18 and 50 years of age,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 414, 'end': 444}]","ions for PMJJBY:
The member applying for the scheme must be between 18 and 50 years of age. No health certificate or information of pre-existing disea",answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.7272727272727273,3,Reader,What is the age limit for PMJJBY scheme?,prediction,0.9332516193389893
,,"[{'start': 0, 'end': 0}]",,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What is the age limit for PMJJBY scheme?,prediction,0.010235695168375969
term plan,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1290, 'end': 1299}]", the member’s bank accounts. It must be noted that the scheme offers a term plan wherein the insurance company will pay the insurance amount to the me,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.9658809900283813
,,"[{'start': 0, 'end': 0}]",,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.04284290596842766
life cover,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 727, 'end': 737}]","r of accounts under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, s",answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.06437522917985916
accidental death and disability cover,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 102, 'end': 139}]"," SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can be renewed yearly. PMSBY is one of the three ",answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction,0.01043988298624754
55 years of age,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1629, 'end': 1644}]",he policy will automatically mature when the insured member reaches 55 years of age. It must be noted that irrespective of the date when the policy wa,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,1,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.9459183216094971
,,"[{'start': 0, 'end': 0}]",,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.009923269040882587
between the ages of 18 and 50 years,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1049, 'end': 1084}]",for renewal every year. The scheme is available to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annu,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.22222222222222224,3,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.6719552874565125
50 years,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 842, 'end': 850}]",k accounts. Entry to the scheme will not be possible beyond the age of 50 years. The eligible candidates can join the scheme before giving any self de,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.5,4,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction,0.4290441572666168
upon the death of the insured member,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1388, 'end': 1424}]","ill pay the insurance amount to the member’s family only upon the death of the insured member. In case of death of the member (who is insured), the no",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.9710292220115662
,,"[{'start': 0, 'end': 0}]",,answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.017767036333680153
30 days to customers,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 638, 'end': 658}]",cy documen. Most insurance companies offer a free-look period of 30 days to customers. Customers can freely switch between funds as per their wish and,answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.00885058380663395
June 1 to May 31,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 822, 'end': 838}]","he insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year.
Features of PMJJBY:
",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction,0.00883911270648241
the nominee or the insured member’s family,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1475, 'end': 1517}]","ber. In case of death of the member (who is insured), the nominee or the insured member’s family will be paid a fixed amount of Rs.2 Lakh. The policy ",answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.9707778692245483
the nominee or the family members,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 631, 'end': 664}]","iple bank accounts. In case of death of the policy holder, the nominee or the family members can claim the insured amount of Rs.2 Lakh by contacting t",answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666665,2,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.6525417566299438
,,"[{'start': 0, 'end': 0}]",,answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.00980423204600811
