answer,document_id,offsets_in_document,context,type,gold_answers,gold_offsets_in_documents,gold_document_ids,exact_match,f1,rank,node,query,node_input
2015,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 154, 'end': 158}]","hen Finance Minister, Mr. Arun Jaitley in the annual financial budget of 2015. The scheme was actually launched by the Prime Minister, Mr. Narendra Mo",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What year did PMJJBY started?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What year did PMJJBY started?,prediction
2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantri Jeevan Jyoti Bima Yojana,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 263, 'end': 365}]",n the Government in the 2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY). All individua,answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.11764705882352941,3,Reader,What year did PMJJBY started?,prediction
Pradhan Mantri Jeevan Jyoti Bima Yojana is a one-year life insurance scheme available for renewal every year,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 905, 'end': 1013}]","
Features of PMJJBY:
Pradhan Mantri Jeevan Jyoti Bima Yojana is a one-year life insurance scheme available for renewal every year. The scheme is avail",answer,['2015'],"[{'start': 154, 'end': 158}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What year did PMJJBY started?,prediction
20%,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 313, 'end': 316}]","lkata considering the fact that as of the mentioned year (May 2015), only 20% of the country’s population had an insurance policy in their name. The m",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,How much percentage of Indians were insured in 2015?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,How much percentage of Indians were insured in 2015?,prediction
Pradhan Mantri Suraksha Bima Yojana,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 7, 'end': 42}]","PMSBY

Pradhan Mantri Suraksha Bima Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can ",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,How much percentage of Indians were insured in 2015?,prediction
"Rs.330, for September, October, November is Rs. 258, for December, January, February is Rs. 172, for March, April, May is Rs. 86",86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 35, 'end': 163}]"," August is Rs.330, for September, October, November is Rs. 258, for December, January, February is Rs. 172, for March, April, May is Rs. 86. The life ",answer,['20%'],"[{'start': 313, 'end': 316}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,How much percentage of Indians were insured in 2015?,prediction
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 12, 'end': 51}]","PMJJBY

The Pradhan Mantri Jeevan Jyoti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction
Pradhan Mantri Jan Dhan Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 555, 'end': 585}]","lly, the bank accounts that were initially opened under the Pradhan Mantri Jan Dhan Yojana will be used for this scheme as well. This was done to redu",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.5454545454545454,3,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction
Pradhan Mantri Suraksha Bima Yojana,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 7, 'end': 42}]","PMSBY

Pradhan Mantri Suraksha Bima Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can ",answer,['The Pradhan Mantri Jeevan Jyoti Bima Yojana '],"[{'start': 8, 'end': 52}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.7272727272727272,4,Reader,Which scheme's main idea was to increase health insured citizens in India?,prediction
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,1,Reader,What is the life cover sum insured under PMJJBY?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,What is the life cover sum insured under PMJJBY?,prediction
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 697, 'end': 706}]","der, the nominee or the family members can claim the insured amount of Rs.2 Lakh by contacting the respective banks branch where the insured person wa",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,3,Reader,What is the life cover sum insured under PMJJBY?,prediction
"one-year accidental death and disability cover, that can be renewed yearly. PMSBY is one of the three social security schemes that was announced in the Government in the 2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantri Jeevan Jyoti Bima Yojana",d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 93, 'end': 365}]","one-year accidental death and disability cover, that can be renewed yearly. PMSBY is one of the three social security schemes that was announced in the Government in the 2015 budget. The other two being Atal Pension Yojana (APY) and Pradhan Mantri Jeevan Jyoti Bima Yojana",answer,['Rs.2 Lakh'],"[{'start': 741, 'end': 750}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What is the life cover sum insured under PMJJBY?,prediction
50 years,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 842, 'end': 850}]",k accounts. Entry to the scheme will not be possible beyond the age of 50 years. The eligible candidates can join the scheme before giving any self de,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,1,Reader,What is the age limit for PMJJBY scheme?,prediction
18 and 50 years,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1069, 'end': 1084}]",l every year. The scheme is available to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annual premium,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,2,Reader,What is the age limit for PMJJBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,What is the age limit for PMJJBY scheme?,prediction
18-70 years,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 470, 'end': 481}]","unt holders, whether single or joint account status, in the age group 18-70 years, are eligible to join the PMSBY scheme. In case the individual holds",answer,['18 and 50 years'],"[{'start': 1069, 'end': 1084}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.3333333333333333,4,Reader,What is the age limit for PMJJBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction
term plan,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1290, 'end': 1299}]", the member’s bank accounts. It must be noted that the scheme offers a term plan wherein the insurance company will pay the insurance amount to the me,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,2,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction
life cover of Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 727, 'end': 750}]","ccounts under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretch",answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction
Conservative ULIP,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 1208, 'end': 1225}]", is invested in equity and the rest is invested in debt market. In Conservative ULIP: Here 20% of investment amount is put in equity and the rest is i,answer,['term plan'],"[{'start': 1290, 'end': 1299}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,What type of insurance plan does PMJJBY scheme offers?,prediction
55,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1629, 'end': 1631}]",akh. The policy will automatically mature when the insured member reaches 55 years of age. It must be noted that irrespective of the date when the pol,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,1,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction
55,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 308, 'end': 310}]",rrence of any of the following and no benefits would be payable. Reaching 55 years of age subject to annual renewal subject to that date. Closure of t,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666666,3,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction
